AC	sim	Count	Prop	mu_fit
0	0.27199119385736864	95401.0	0.2830352692663708	1.9e-07
1	0.2083566861397696	69900.0	0.20737901407447842	1.9e-07
2	0.13274983856289307	44853.0	0.13306968409560202	1.9e-07
3	0.08402035696902668	28701.0	0.08515000118671825	1.9e-07
4	0.05516805896710943	18844.0	0.05590629672703107	1.9e-07
5	0.037908101988398384	12959.0	0.038446704483421544	1.9e-07
6	0.027197737006753753	9122.0	0.027063109676500604	1.9e-07
7	0.020265269230145877	6637.0	0.01969062255239361	1.9e-07
8	0.015592759884725275	5265.0	0.015620178957112003	1.9e-07
9	0.012326761751893874	4137.0	0.01227363349393587	1.9e-07
10	0.009969930346810022	3277.0	0.009722189257826407	1.9e-07
11	0.0082211729596114	2719.0	0.008066717299978638	1.9e-07
12	0.0068913428259972645	2162.0	0.006414212137754254	1.9e-07
13	0.005857635215513455	1904.0	0.005648778866921416	1.9e-07
14	0.005038141878484403	1589.0	0.00471423824555574	1.9e-07
15	0.004377080460471504	1371.0	0.0040674767996582255	1.9e-07
16	0.0038358081432787136	1203.0	0.003569055134929865	1.9e-07
17	0.003387099482187174	1081.0	0.003207106068877127	1.9e-07
18	0.0030113825151846137	902.0	0.002676049652291553	1.9e-07
19	0.0026942316117908797	824.0	0.0024446395936676716	1.9e-07
20	0.0024247079430100176	780.0	0.0023141005862388152	1.9e-07
21	0.002194281382105064	694.0	0.002058956162627869	1.9e-07
22	0.0019961446089870705	647.0	0.0019195167683288634	1.9e-07
23	0.0018247805657163002	571.0	0.001694040300951748	1.9e-07
24	0.0016756836814865973	559.0	0.0016584387534711508	1.9e-07
25	0.001545168053926651	529.0	0.001569434884769658	1.9e-07
26	0.0014302221415481652	490.0	0.0014537298554577172	1.9e-07
27	0.0013283889078643065	445.0	0.0013202240524054778	1.9e-07
28	0.0012376627943059006	399.0	0.0011837514537298554	1.9e-07
29	0.0011564014048777507	365.0	0.0010828804025348302	1.9e-07
30	0.0010832520363844586	347.0	0.0010294780813139344	1.9e-07
31	0.001017093010930163	330.0	0.0009790425557164217	1.9e-07
32	0.0009569886122229986	293.0	0.0008692711176512473	1.9e-07
33	0.0009021553562942654	275.0	0.0008158687964303515	1.9e-07
34	0.000851936743752027	292.0	0.0008663043220278642	1.9e-07
35	0.0008057836934873282	287.0	0.0008514703439109487	1.9e-07
36	0.0007632383385734751	230.0	0.0006823629933781121	1.9e-07
37	0.0007239196100136123	238.0	0.000706097358365177	1.9e-07
38	0.0006875097871659773	250.0	0.0007416989058457741	1.9e-07
39	0.0006537418333137869	195.0	0.0005785251465597038	1.9e-07
40	0.0006223877608673037	199.0	0.0005903923290532362	1.9e-07
41	0.0005932484619651856	162.0	0.0004806208909880616	1.9e-07
42	0.0005661454305046021	183.0	0.0005429235990791066	1.9e-07
43	0.0005409146435700986	162.0	0.0004806208909880616	1.9e-07
44	0.000517402630897276	155.0	0.00045985332162437994	1.9e-07
45	0.000495464506787449	167.0	0.0004954548691049771	1.9e-07
46	0.0004749635505866455	153.0	0.00045391973037761375	1.9e-07
47	0.0004557717949814341	157.0	0.0004657869128711461	1.9e-07
48	0.0004377710714740582	145.0	0.00043018536539054896	1.9e-07
49	0.00042085402852613823	136.0	0.0004034842047801011	1.9e-07
50	0.00040492476826480835	127.0	0.00037678304416965323	1.9e-07
51	0.00038989891451896843	114.0	0.000338214701065673	1.9e-07
52	0.00037570307483902594	112.0	0.0003322811098189068	1.9e-07
53	0.0003622737909402789	139.0	0.0004123845916502504	1.9e-07
54	0.00034955614928177303	117.0	0.00034711508793582225	1.9e-07
55	0.0003375022523449422	119.0	0.0003530486791825885	1.9e-07
56	0.0003260697401406882	115.0	0.00034118149668905607	1.9e-07
57	0.00031522050075816297	99.0	0.00029371276671492653	1.9e-07
58	0.00030491965673560666	100.0	0.00029667956233830965	1.9e-07
59	0.00029513484812954425	109.0	0.0003233807229487575	1.9e-07
60	0.0002858357849233112	97.0	0.00028777917546816034	1.9e-07
61	0.00027699401448000083	92.0	0.00027294519735124485	1.9e-07
62	0.00026858283041540285	92.0	0.00027294519735124485	1.9e-07
63	0.00026057725420943563	104.0	0.000308546744831842	1.9e-07
64	0.00025295403504110294	96.0	0.0002848123798447773	1.9e-07
65	0.0002456916283917807	66.0	0.00019580851114328436	1.9e-07
66	0.0002387701368037755	79.0	0.00023437685424726462	1.9e-07
67	0.00023217120805109877	70.0	0.00020767569363681676	1.9e-07
68	0.00022587789871962832	64.0	0.00018987491989651818	1.9e-07
69	0.00021987451578541503	62.0	0.00018394132864975196	1.9e-07
70	0.00021414644888274485	79.0	0.00023437685424726462	1.9e-07
71	0.00020868000476935674	64.0	0.00018987491989651818	1.9e-07
72	0.0002034622516170671	71.0	0.00021064248926019985	1.9e-07
73	0.00019848087709829708	72.0	0.00021360928488358295	1.9e-07
74	0.00019372406326920364	55.0	0.0001631737592860703	1.9e-07
75	0.00018918037891067343	56.0	0.0001661405549094534	1.9e-07
76	0.0001848386895108238	71.0	0.00021064248926019985	1.9e-07
77	0.0001806880895077117	59.0	0.00017504094177960269	1.9e-07
78	0.0001767178564585	57.0	0.0001691073505328365	1.9e-07
79	0.00017291743250517748	62.0	0.00018394132864975196	1.9e-07
80	0.0001692764343962124	59.0	0.00017504094177960269	1.9e-07
81	0.00016578469277280934	60.0	0.00017800773740298578	1.9e-07
82	0.00016243232028592482	48.0	0.00014240618992238864	1.9e-07
83	0.00015920980291190892	48.0	0.00014240618992238864	1.9e-07
84	0.00015610810855914216	61.0	0.00018097453302636887	1.9e-07
85	0.00015311880289064743	63.0	0.00018690812427313508	1.9e-07
86	0.00015023416235237524	53.0	0.0001572401680393041	1.9e-07
87	0.00014744727284483888	56.0	0.0001661405549094534	1.9e-07
88	0.00014475210447324844	43.0	0.00012757221180547315	1.9e-07
89	0.0001421435537815693	63.0	0.00018690812427313508	1.9e-07
90	0.00013961744841733666	53.0	0.0001572401680393041	1.9e-07
91	0.00013717051104148096	34.0	0.00010087105119502527	1.9e-07
92	0.00013480028480695265	55.0	0.0001631737592860703	1.9e-07
93	0.00013250502314432673	47.0	0.00013943939429900552	1.9e-07
94	0.0001302835511582249	44.0	0.00013053900742885624	1.9e-07
95	0.00012813510708056024	38.0	0.00011273823368855766	1.9e-07
96	0.00012605917284391413	37.0	0.00010977143806517457	1.9e-07
97	0.0001240553046401406	34.0	0.00010087105119502527	1.9e-07
98	0.00012212297211599275	41.0	0.00012163862055870695	1.9e-07
99	0.00012026141489894469	43.0	0.00012757221180547315	1.9e-07
100	0.00011846952361526129	36.0	0.00010680464244179147	1.9e-07
101	0.0001167457504271474	38.0	0.00011273823368855766	1.9e-07
102	0.00011508805159623888	51.0	0.00015130657679253792	1.9e-07
103	0.00011349386343452132	40.0	0.00011867182493532386	1.9e-07
104	0.0001119601111348765	40.0	0.00011867182493532386	1.9e-07
105	0.00011048324632252201	35.0	0.00010383784681840838	1.9e-07
106	0.00010905931030616131	32.0	9.493745994825909e-05	1.9e-07
107	0.00010768401710237458	39.0	0.00011570502931194076	1.9e-07
108	0.00010635285007827101	38.0	0.00011273823368855766	1.9e-07
109	0.00010506116628300417	36.0	0.00010680464244179147	1.9e-07
110	0.0001038043022400419	33.0	9.790425557164218e-05	1.9e-07
111	0.00010257767503448357	29.0	8.60370730781098e-05	1.9e-07
112	0.00010137687506156137	38.0	0.00011273823368855766	1.9e-07
113	0.00010019774603373429	36.0	0.00010680464244179147	1.9e-07
114	9.903644993607847e-05	25.0	7.416989058457741e-05	1.9e-07
115	9.788951614917713e-05	27.0	8.01034818313436e-05	1.9e-07
116	9.675387466353599e-05	27.0	8.01034818313436e-05	1.9e-07
117	9.562687452112907e-05	34.0	0.00010087105119502527	1.9e-07
118	9.450628904970605e-05	36.0	0.00010680464244179147	1.9e-07
119	9.339031097270665e-05	28.0	8.30702774547267e-05	1.9e-07
120	9.227753906358186e-05	23.0	6.823629933781121e-05	1.9e-07
121	9.116695999602147e-05	23.0	6.823629933781121e-05	1.9e-07
122	9.005792656769953e-05	32.0	9.493745994825909e-05	1.9e-07
123	8.89501348434713e-05	32.0	9.493745994825909e-05	1.9e-07
124	8.784360117044248e-05	31.0	9.197066432487598e-05	1.9e-07
125	8.673863940656556e-05	27.0	8.01034818313436e-05	1.9e-07
126	8.563583893133098e-05	28.0	8.30702774547267e-05	1.9e-07
127	8.453604237218674e-05	28.0	8.30702774547267e-05	1.9e-07
128	8.344032265747466e-05	29.0	8.60370730781098e-05	1.9e-07
129	8.234995835908212e-05	19.0	5.636911684427883e-05	1.9e-07
130	8.1266406114629e-05	35.0	0.00010383784681840838	1.9e-07
131	8.01912698273109e-05	28.0	8.30702774547267e-05	1.9e-07
132	7.912626549402085e-05	17.0	5.043552559751264e-05	1.9e-07
133	7.807318229514645e-05	25.0	7.416989058457741e-05	1.9e-07
134	7.703383997437221e-05	41.0	0.00012163862055870695	1.9e-07
135	7.601004318895886e-05	27.0	8.01034818313436e-05	1.9e-07
136	7.500353444869967e-05	30.0	8.900386870149289e-05	1.9e-07
137	7.401594695352075e-05	11.0	3.263475185721406e-05	1.9e-07
138	7.304875938310952e-05	22.0	6.526950371442812e-05	1.9e-07
139	7.210325417154789e-05	19.0	5.636911684427883e-05	1.9e-07
140	7.118048155588713e-05	18.0	5.3402321220895736e-05	1.9e-07
141	7.02812307318301e-05	25.0	7.416989058457741e-05	1.9e-07
142	6.940600977271177e-05	18.0	5.3402321220895736e-05	1.9e-07
143	6.855503496242392e-05	21.0	6.230270809104503e-05	1.9e-07
144	6.772823060707353e-05	27.0	8.01034818313436e-05	1.9e-07
145	6.692523872763326e-05	23.0	6.823629933781121e-05	1.9e-07
146	6.614543881990813e-05	19.0	5.636911684427883e-05	1.9e-07
147	6.538797632418148e-05	25.0	7.416989058457741e-05	1.9e-07
148	6.465179874014186e-05	16.0	4.7468729974129544e-05	1.9e-07
149	6.39356976106907e-05	25.0	7.416989058457741e-05	1.9e-07
150	6.323835444588067e-05	22.0	6.526950371442812e-05	1.9e-07
151	6.255838889347143e-05	18.0	5.3402321220895736e-05	1.9e-07
152	6.189440658881264e-05	20.0	5.933591246766193e-05	1.9e-07
153	6.124504509616336e-05	12.0	3.560154748059716e-05	1.9e-07
154	6.0609016200510594e-05	24.0	7.120309496119432e-05	1.9e-07
155	5.998514261332352e-05	23.0	6.823629933781121e-05	1.9e-07
156	5.937238836314881e-05	26.0	7.71366862079605e-05	1.9e-07
157	5.876988155883652e-05	14.0	4.153513872736335e-05	1.9e-07
158	5.817692957723891e-05	18.0	5.3402321220895736e-05	1.9e-07
159	5.759302582931774e-05	30.0	8.900386870149289e-05	1.9e-07
160	5.7017849333920685e-05	24.0	7.120309496119432e-05	1.9e-07
161	5.645125662479971e-05	16.0	4.7468729974129544e-05	1.9e-07
162	5.589326771260331e-05	19.0	5.636911684427883e-05	1.9e-07
163	5.53440466060473e-05	22.0	6.526950371442812e-05	1.9e-07
164	5.480387777691215e-05	21.0	6.230270809104503e-05	1.9e-07
165	5.427313989277852e-05	17.0	5.043552559751264e-05	1.9e-07
166	5.375227777611508e-05	19.0	5.636911684427883e-05	1.9e-07
167	5.324177419710366e-05	15.0	4.4501934350746445e-05	1.9e-07
168	5.2742122173702616e-05	24.0	7.120309496119432e-05	1.9e-07
169	5.225379911900847e-05	18.0	5.3402321220895736e-05	1.9e-07
170	5.177724327861483e-05	26.0	7.71366862079605e-05	1.9e-07
171	5.1312833315148947e-05	15.0	4.4501934350746445e-05	1.9e-07
172	5.0860871266295124e-05	20.0	5.933591246766193e-05	1.9e-07
173	5.042156931300554e-05	16.0	4.7468729974129544e-05	1.9e-07
174	4.9995040059429025e-05	12.0	3.560154748059716e-05	1.9e-07
175	4.958129074148784e-05	17.0	5.043552559751264e-05	1.9e-07
176	4.918022083213933e-05	11.0	3.263475185721406e-05	1.9e-07
177	4.879162282080743e-05	17.0	5.043552559751264e-05	1.9e-07
178	4.841518600317241e-05	15.0	4.4501934350746445e-05	1.9e-07
179	4.805050263288288e-05	18.0	5.3402321220895736e-05	1.9e-07
180	4.7697076385890574e-05	14.0	4.153513872736335e-05	1.9e-07
181	4.735433230648172e-05	15.0	4.4501934350746445e-05	1.9e-07
182	4.7021628436985104e-05	15.0	4.4501934350746445e-05	1.9e-07
183	4.669826809090112e-05	16.0	4.7468729974129544e-05	1.9e-07
184	4.638351303202509e-05	16.0	4.7468729974129544e-05	1.9e-07
185	4.607659692370993e-05	15.0	4.4501934350746445e-05	1.9e-07
186	4.5776738773505665e-05	11.0	3.263475185721406e-05	1.9e-07
187	4.548315623625753e-05	19.0	5.636911684427883e-05	1.9e-07
188	4.519507845251546e-05	17.0	5.043552559751264e-05	1.9e-07
189	4.491175817425443e-05	14.0	4.153513872736335e-05	1.9e-07
190	4.463248299104455e-05	15.0	4.4501934350746445e-05	1.9e-07
191	4.435658550871391e-05	16.0	4.7468729974129544e-05	1.9e-07
192	4.408345228014841e-05	14.0	4.153513872736335e-05	1.9e-07
193	4.3812531252813876e-05	10.0	2.9667956233830964e-05	1.9e-07
194	4.354333784478895e-05	21.0	6.230270809104503e-05	1.9e-07
195	4.327545927862469e-05	14.0	4.153513872736335e-05	1.9e-07
196	4.300855745326765e-05	9.0	2.6701160610447868e-05	1.9e-07
197	4.274236997050409e-05	17.0	5.043552559751264e-05	1.9e-07
198	4.247670972297616e-05	19.0	5.636911684427883e-05	1.9e-07
199	4.221146279458054e-05	18.0	5.3402321220895736e-05	1.9e-07
200	4.1946585083732434e-05	12.0	3.560154748059716e-05	1.9e-07
201	4.168209750719022e-05	17.0	5.043552559751264e-05	1.9e-07
202	4.141808010995196e-05	16.0	4.7468729974129544e-05	1.9e-07
203	4.1154665450581384e-05	15.0	4.4501934350746445e-05	1.9e-07
204	4.08920309612716e-05	14.0	4.153513872736335e-05	1.9e-07
205	4.063039113078777e-05	18.0	5.3402321220895736e-05	1.9e-07
206	4.0369989225363766e-05	13.0	3.856834310398025e-05	1.9e-07
207	4.011108910059918e-05	9.0	2.6701160610447868e-05	1.9e-07
208	3.985396702093705e-05	9.0	2.6701160610447868e-05	1.9e-07
209	3.959890389392022e-05	16.0	4.7468729974129544e-05	1.9e-07
210	3.934617784970242e-05	8.0	2.3734364987064772e-05	1.9e-07
211	3.9096057535188236e-05	12.0	3.560154748059716e-05	1.9e-07
212	3.8848795927249935e-05	16.0	4.7468729974129544e-05	1.9e-07
213	3.860462500556004e-05	11.0	3.263475185721406e-05	1.9e-07
214	3.836375104261283e-05	12.0	3.560154748059716e-05	1.9e-07
215	3.8126350873986143e-05	12.0	3.560154748059716e-05	1.9e-07
216	3.789256877196707e-05	14.0	4.153513872736335e-05	1.9e-07
217	3.76625142174536e-05	14.0	4.153513872736335e-05	1.9e-07
218	3.743626040520635e-05	10.0	2.9667956233830964e-05	1.9e-07
219	3.7213843439987975e-05	11.0	3.263475185721406e-05	1.9e-07
220	3.699526231667306e-05	20.0	5.933591246766193e-05	1.9e-07
221	3.678047947079298e-05	8.0	2.3734364987064772e-05	1.9e-07
222	3.6569422043260266e-05	9.0	2.6701160610447868e-05	1.9e-07
223	3.636198377456915e-05	15.0	4.4501934350746445e-05	1.9e-07
224	3.615802737766712e-05	10.0	2.9667956233830964e-05	1.9e-07
225	3.595738758448355e-05	13.0	3.856834310398025e-05	1.9e-07
226	3.575987457158738e-05	12.0	3.560154748059716e-05	1.9e-07
227	3.5565277979891624e-05	16.0	4.7468729974129544e-05	1.9e-07
228	3.5373371187720326e-05	12.0	3.560154748059716e-05	1.9e-07
229	3.518391603074963e-05	8.0	2.3734364987064772e-05	1.9e-07
230	3.499666774851134e-05	13.0	3.856834310398025e-05	1.9e-07
231	3.4811380077238694e-05	7.0	2.0767569363681676e-05	1.9e-07
232	3.462781044553758e-05	6.0	1.780077374029858e-05	1.9e-07
233	3.444572512908893e-05	7.0	2.0767569363681676e-05	1.9e-07
234	3.426490418284178e-05	11.0	3.263475185721406e-05	1.9e-07
235	3.408514617428235e-05	7.0	2.0767569363681676e-05	1.9e-07
236	3.390627248274308e-05	8.0	2.3734364987064772e-05	1.9e-07
237	3.372813106450844e-05	15.0	4.4501934350746445e-05	1.9e-07
238	3.355059959965123e-05	8.0	2.3734364987064772e-05	1.9e-07
239	3.337358794132202e-05	5.0	1.4833978116915482e-05	1.9e-07
240	3.319703969714355e-05	10.0	2.9667956233830964e-05	1.9e-07
241	3.3020933059093035e-05	11.0	3.263475185721406e-05	1.9e-07
242	3.2845280655889243e-05	18.0	5.3402321220895736e-05	1.9e-07
243	3.2670128563320475e-05	12.0	3.560154748059716e-05	1.9e-07
244	3.2495554424782986e-05	8.0	2.3734364987064772e-05	1.9e-07
245	3.232166481447163e-05	10.0	2.9667956233830964e-05	1.9e-07
246	3.214859173545109e-05	14.0	4.153513872736335e-05	1.9e-07
247	3.197648859243282e-05	12.0	3.560154748059716e-05	1.9e-07
248	3.180552552921989e-05	10.0	2.9667956233830964e-05	1.9e-07
249	3.163588449517876e-05	15.0	4.4501934350746445e-05	1.9e-07
250	3.1467753929863915e-05	8.0	2.3734364987064772e-05	1.9e-07
251	3.130132335044288e-05	11.0	3.263475185721406e-05	1.9e-07
252	3.11367781651176e-05	11.0	3.263475185721406e-05	1.9e-07
253	3.0974294367969763e-05	13.0	3.856834310398025e-05	1.9e-07
254	3.081403382242459e-05	5.0	1.4833978116915482e-05	1.9e-07
255	3.065613986176011e-05	11.0	3.263475185721406e-05	1.9e-07
256	3.0500733481543863e-05	5.0	1.4833978116915482e-05	1.9e-07
257	3.0347910181983513e-05	10.0	2.9667956233830964e-05	1.9e-07
258	3.0197737463019856e-05	10.0	2.9667956233830964e-05	1.9e-07
259	3.005025315809389e-05	11.0	3.263475185721406e-05	1.9e-07
260	2.9905464492905137e-05	13.0	3.856834310398025e-05	1.9e-07
261	2.9763347905028624e-05	9.0	2.6701160610447868e-05	1.9e-07
262	2.9623849644950385e-05	8.0	2.3734364987064772e-05	1.9e-07
263	2.9486887083025483e-05	6.0	1.780077374029858e-05	1.9e-07
264	2.9352350658806573e-05	7.0	2.0767569363681676e-05	1.9e-07
265	2.92201064429649e-05	11.0	3.263475185721406e-05	1.9e-07
266	2.908999917443791e-05	9.0	2.6701160610447868e-05	1.9e-07
267	2.8961855703209028e-05	9.0	2.6701160610447868e-05	1.9e-07
268	2.8835488789738133e-05	10.0	2.9667956233830964e-05	1.9e-07
269	2.8710701074008994e-05	12.0	3.560154748059716e-05	1.9e-07
270	2.8587289203105785e-05	8.0	2.3734364987064772e-05	1.9e-07
271	2.84650479264343e-05	9.0	2.6701160610447868e-05	1.9e-07
272	2.8343774199485594e-05	10.0	2.9667956233830964e-05	1.9e-07
273	2.8223271036163186e-05	10.0	2.9667956233830964e-05	1.9e-07
274	2.8103351183542155e-05	9.0	2.6701160610447868e-05	1.9e-07
275	2.7983840500787092e-05	12.0	3.560154748059716e-05	1.9e-07
276	2.7864580870024884e-05	12.0	3.560154748059716e-05	1.9e-07
277	2.7745432848938173e-05	9.0	2.6701160610447868e-05	1.9e-07
278	2.7626277678138186e-05	6.0	1.780077374029858e-05	1.9e-07
279	2.750701893200894e-05	12.0	3.560154748059716e-05	1.9e-07
280	2.7387583597719254e-05	10.0	2.9667956233830964e-05	1.9e-07
281	2.7267922625598115e-05	7.0	2.0767569363681676e-05	1.9e-07
282	2.7148010990002577e-05	13.0	3.856834310398025e-05	1.9e-07
283	2.7027847195250934e-05	10.0	2.9667956233830964e-05	1.9e-07
284	2.690745238022255e-05	13.0	3.856834310398025e-05	1.9e-07
285	2.678686880539891e-05	6.0	1.780077374029858e-05	1.9e-07
286	2.6666158088301285e-05	5.0	1.4833978116915482e-05	1.9e-07
287	2.6545398962119235e-05	10.0	2.9667956233830964e-05	1.9e-07
288	2.6424684736405702e-05	10.0	2.9667956233830964e-05	1.9e-07
289	2.630412046241064e-05	6.0	1.780077374029858e-05	1.9e-07
290	2.618381999525263e-05	7.0	2.0767569363681676e-05	1.9e-07
291	2.6063902779796114e-05	9.0	2.6701160610447868e-05	1.9e-07
292	2.594449069334781e-05	6.0	1.780077374029858e-05	1.9e-07
293	2.5825704800474758e-05	9.0	2.6701160610447868e-05	1.9e-07
